Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Philadelphia 76ers,28.5,12,5,13,4,8.76,1.43,10.19,121.5,112.7,+8.8,98.6,.318,.358,.593,,.540,11.3,28.4,.272,,.529,12.1,75.7,.202,,Wells Fargo Center,198832,19883
2,Boston Celtics,28.5,13,4,13,4,8.53,1.78,10.31,117.1,108.4,+8.7,97.8,.246,.484,.588,,.555,12.0,23.8,.194,,.511,11.2,77.0,.151,,TD Garden,134092,19156
3,Oklahoma City Thunder,23.0,11,5,12,4,8.31,-0.72,7.59,119.0,110.7,+8.3,99.8,.268,.367,.615,,.572,12.5,19.9,.230,,.504,13.5,69.5,.209,,Paycom Center,153252,17028
4,Minnesota Timberwolves,27.4,12,4,11,5,7.00,0.70,7.70,113.8,106.7,+7.1,99.0,.289,.360,.591,,.554,13.7,23.3,.225,,.496,12.8,75.4,.184,,Target Center,144192,18024
5,Houston Rockets,25.4,8,6,9,5,5.29,-1.07,4.21,112.8,107.3,+5.5,96.5,.233,.395,.569,,.539,11.7,21.4,.176,,.502,12.5,76.7,.228,,Toyota Center,155959,17329
6,Orlando Magic,24.2,12,5,11,6,5.29,-0.44,4.86,112.6,107.3,+5.3,100.1,.322,.348,.571,,.529,13.8,27.6,.246,,.537,15.4,78.8,.211,,Amway Center,171216,18904
7,Denver Nuggets,27.0,12,6,11,7,4.11,-0.59,3.52,116.1,111.9,+4.2,97.4,.225,.353,.577,,.554,12.2,26.2,.160,,.521,11.9,75.8,.215,,Ball Arena,157459,19682
8,Phoenix Suns,29.0,11,6,10,7,3.88,-2.72,1.16,118.7,114.7,+4.0,96.9,.309,.388,.601,,.554,13.6,27.5,.257,,.522,11.3,73.5,.206,,Footprint Center,136568,17071
9,New York Knicks,26.0,9,7,10,6,3.75,0.49,4.24,114.6,110.7,+3.9,95.7,.264,.399,.546,,.514,11.4,30.2,.192,,.542,13.3,79.1,.188,,Madison Square Garden (IV),138684,19812
10,Los Angeles Clippers,30.9,7,9,10,6,3.31,-2.52,0.79,112.9,109.6,+3.3,98.3,.281,.371,.569,,.531,12.9,25.8,.217,,.514,13.3,73.8,.195,,Crypto.com Arena,145155,18144
11,Milwaukee Bucks,29.9,12,5,10,7,2.88,-0.34,2.54,118.6,115.8,+2.8,101.5,.301,.426,.604,,.569,12.0,21.9,.230,,.539,11.5,74.8,.182,,Fiserv Forum,158998,17666
12,Indiana Pacers,25.2,9,7,9,7,2.88,-0.82,2.06,122.6,119.8,+2.8,104.1,.227,.415,.613,,.584,11.4,23.3,.182,,.553,12.0,72.6,.257,,Gainbridge Fieldhouse,174149,15832
13,Atlanta Hawks,25.9,8,8,9,7,2.44,1.62,4.05,120.7,118.3,+2.4,101.7,.284,.405,.598,,.556,12.7,29.7,.233,,.564,13.6,72.5,.192,,State Farm Arena,135472,16934
14,Miami Heat,28.7,10,7,10,7,2.00,-1.23,0.77,113.2,111.2,+2.0,97.0,.254,.392,.579,,.536,12.5,22.1,.217,,.553,15.0,76.6,.171,,Kaseya Center,98546,19709
15,Dallas Mavericks,26.4,10,6,9,7,1.13,-1.70,-0.57,118.6,117.5,+1.1,100.7,.260,.474,.588,,.559,10.4,22.4,.192,,.562,12.3,73.4,.176,,American Airlines Center,121044,20174
16,Brooklyn Nets,26.9,8,8,8,8,0.75,1.26,2.01,116.7,116.0,+0.7,98.2,.212,.440,.585,,.558,12.3,25.6,.164,,.531,10.4,76.6,.191,,Barclays Center,159313,17701
17,Golden State Warriors,29.4,8,9,9,8,0.18,1.98,2.15,114.2,114.0,+0.2,99.4,.265,.439,.567,,.529,13.1,28.3,.207,,.529,12.3,75.0,.230,,Chase Center,162576,18064
18,Sacramento Kings,26.5,9,6,8,7,0.20,-0.19,0.01,114.3,114.1,+0.2,99.7,.258,.467,.576,,.547,12.3,23.4,.190,,.553,12.9,78.3,.216,,Golden 1 Center,90203,18041
19,New Orleans Pelicans,25.3,9,9,9,9,-0.11,0.62,0.51,112.6,112.7,-0.1,100.2,.276,.349,.567,,.535,12.0,23.9,.202,,.530,12.4,75.3,.197,,Smoothie King Center,162224,16222
20,Toronto Raptors,26.5,8,9,8,9,-0.47,0.88,0.41,111.6,112.1,-0.5,99.1,.252,.372,.562,,.533,13.2,27.0,.183,,.543,12.9,77.2,.173,,Scotiabank Arena,177048,19672
21,Los Angeles Lakers,28.0,10,8,8,10,-1.83,0.01,-1.83,110.6,112.4,-1.8,99.9,.288,.343,.584,,.548,13.7,19.9,.220,,.531,11.9,75.3,.149,,Crypto.com Arena,170096,18900
22,Cleveland Cavaliers,26.1,9,8,8,9,-1.82,1.79,-0.03,111.8,113.6,-1.8,98.5,.254,.366,.574,,.539,12.9,24.0,.198,,.528,12.8,74.1,.210,,Rocket Mortgage Fieldhouse,174888,19432
23,Chicago Bulls,28.6,5,13,6,12,-5.56,0.91,-4.65,110.5,116.2,-5.7,95.4,.230,.376,.547,,.510,11.0,23.6,.184,,.559,14.4,73.3,.217,,United Center,193556,19356
24,Utah Jazz,25.9,6,11,5,12,-6.35,-1.21,-7.56,113.6,119.9,-6.3,99.3,.244,.426,.566,,.528,14.8,32.0,.198,,.565,11.4,75.2,.201,,Delta Center,163854,18206
25,Washington Wizards,25.5,3,14,5,12,-7.88,0.11,-7.77,112.1,119.7,-7.6,103.6,.218,.379,.579,,.548,12.2,18.8,.173,,.565,12.8,69.5,.184,,Capital One Arena,119231,17033
26,Portland Trail Blazers,24.7,5,12,5,12,-7.71,-1.01,-8.72,105.7,113.4,-7.7,98.0,.236,.363,.532,,.495,14.2,26.0,.185,,.548,14.9,71.8,.216,,Moda Center,129004,18429
27,Charlotte Hornets,24.8,5,10,4,11,-8.07,0.49,-7.58,112.3,120.3,-8.0,100.9,.252,.338,.566,,.532,12.5,26.3,.193,,.571,11.7,77.1,.214,,Spectrum Center,150410,16712
28,Detroit Pistons,22.9,2,15,5,12,-8.12,0.09,-8.03,109.6,117.7,-8.1,100.0,.239,.326,.556,,.517,14.9,29.2,.194,,.533,10.7,75.8,.256,,Little Caesars Arena,146712,18339
29,Memphis Grizzlies,25.4,3,13,4,12,-8.44,-1.57,-10.00,105.6,114.1,-8.5,99.4,.224,.439,.528,,.494,12.4,22.9,.172,,.560,14.5,76.7,.225,,FedEx Forum,134560,16820
30,San Antonio Spurs,23.6,3,14,3,14,-12.88,1.58,-11.31,106.8,119.3,-12.5,102.1,.205,.398,.553,,.523,13.9,22.3,.160,,.580,12.7,77.1,.209,,Frost Bank Center,165461,18385
,League Average,26.6,,,8,8,0.00,0.00,0.00,114.0,114.0,,99.3,.257,.392,.575,,.539,12.7,24.9,.201,,.539,12.7,75.1,.201,,,150758,18156
