,,,,,Winner,Winner,,Loser,Loser,,,
Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
,,,,,,,,,,,,
2023,NBA,Eastern Conf First Round,Apr 16 - Apr 26 2023,,Miami Heat (8),4,,Milwaukee Bucks (1),1,,MIL (-1200),MIA (+750)
2023,NBA,Eastern Conf First Round,Apr 15 - Apr 26 2023,,New York Knicks (5),4,,Cleveland Cavaliers (4),1,,CLE (-190),NYK (+170)
2023,NBA,Eastern Conf First Round,Apr 15 - Apr 22 2023,,Philadelphia 76ers (3),4,,Brooklyn Nets (6),0,,PHI (-1100),BRK (+700)
2023,NBA,Eastern Conf First Round,Apr 15 - Apr 27 2023,,Boston Celtics (2),4,,Atlanta Hawks (7),2,,BOS (-1600),ATL (+900)
2023,NBA,Western Conf First Round,Apr 16 - Apr 25 2023,,Denver Nuggets (1),4,,Minnesota Timberwolves (8),1,,DEN (-550),MIN (+425)
2023,NBA,Western Conf First Round,Apr 16 - Apr 25 2023,,Phoenix Suns (4),4,,Los Angeles Clippers (5),1,,PHO (-500),LAC (+400)
2023,NBA,Western Conf First Round,Apr 15 - Apr 30 2023,,Golden State Warriors (6),4,,Sacramento Kings (3),3,,GSW (-265),SAC (+225)
2023,NBA,Western Conf First Round,Apr 16 - Apr 28 2023,,Los Angeles Lakers (7),4,,Memphis Grizzlies (2),2,,MEM (-140),LAL (+120)
2023,NBA,Eastern Conf Semifinals,Apr 30 - May 12 2023,,Miami Heat (8),4,,New York Knicks (5),2,,NYK (-160),MIA (+140)
2023,NBA,Eastern Conf Semifinals,May 1 - May 14 2023,,Boston Celtics (2),4,,Philadelphia 76ers (3),3,,BOS (-550),PHI (+425)
2023,NBA,Western Conf Semifinals,Apr 29 - May 11 2023,,Denver Nuggets (1),4,,Phoenix Suns (4),2,,PHO (-120),DEN (+100)
2023,NBA,Western Conf Semifinals,May 2 - May 12 2023,,Los Angeles Lakers (7),4,,Golden State Warriors (6),2,,GSW (-150),LAL (+130)
2023,NBA,Western Conf Finals,May 16 - May 22 2023,,Denver Nuggets (1),4,,Los Angeles Lakers (7),0,,DEN (-170),LAL (+145)
2023,NBA,Eastern Conf Finals,May 17 - May 29 2023,,Miami Heat (8),4,,Boston Celtics (2),3,,BOS (-550),MIA (+400)
2023,NBA,Finals,Jun 1 - Jun 12 2023,,Denver Nuggets (1),4,,Miami Heat (8),1,,DEN (-430),MIA (+330)
