Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,Playoff Wins,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk
Golden State Warriors,6.0,3.5,13.5,4.5,12.5,5.0,6.0,4.0,15.0,15.5,4.5,6.0,14.0,2.0,4.0,3.0,1.0,11.0,13.0,15.0,6.0,1.0,3.5,13.0,7.0,7.0,16,8.5,13.5,12.0,11.0,7.0,3.0,3.0,6.0,13.5,15.0,3.0,16.0,15.0,13.0,11.0,2.0,5.0,3.0,3.5,8.0,1.0,2.0,11.0,1
Boston Celtics,11.5,7.0,10.0,1.5,15.5,2.0,13.0,1.0,7.0,15.5,1.5,12.0,13.0,6.0,9.5,8.0,7.5,6.0,10.0,16.0,8.0,10.0,13.0,5.0,5.0,5.0,14,8.5,1.0,9.0,9.0,10.5,6.0,6.0,11.0,11.0,11.0,6.0,10.5,14.0,2.0,6.0,4.5,4.0,9.0,11.5,2.0,8.0,15.0,9.0,2
Miami Heat,4.0,3.5,13.5,6.0,11.0,6.0,12.0,6.0,9.0,12.0,6.0,15.0,7.0,7.0,3.0,5.0,2.0,8.0,5.0,8.5,3.0,7.5,2.0,12.0,4.0,4.0,11,8.5,2.5,14.0,15.0,9.0,5.0,8.0,1.0,15.5,13.0,11.5,9.0,10.0,5.0,11.0,9.5,13.0,6.0,9.0,16.0,2.0,3.0,12.0,3
Dallas Mavericks,9.0,5.0,12.0,7.0,10.0,8.0,11.0,8.0,14.0,11.0,7.0,16.0,8.0,4.0,13.0,12.0,11.0,14.0,12.0,12.0,9.0,7.5,12.0,16.0,3.0,3.0,9,8.5,9.5,16.0,14.0,12.5,7.0,5.0,14.0,13.5,14.0,5.0,13.0,12.0,12.0,13.0,11.5,14.0,14.0,16.0,13.0,14.0,8.5,16.0,4
Phoenix Suns,7.0,1.0,16.0,1.5,15.5,1.0,16.0,2.0,4.0,14.0,1.5,4.0,16.0,14.0,5.5,4.0,12.5,12.0,16.0,14.0,6.0,11.0,8.5,9.0,12.0,12.0,7,8.5,13.5,1.0,4.0,1.0,11.5,13.0,6.0,1.0,2.0,4.0,15.0,16.0,7.0,11.0,4.5,6.5,2.0,5.0,9.0,11.0,6.0,4.0,5
Milwaukee Bucks,3.0,7.0,10.0,8.0,9.0,7.0,9.0,7.0,3.0,6.0,8.0,3.0,4.0,5.0,7.0,6.0,9.0,9.5,7.0,5.0,14.0,2.0,15.0,10.0,8.0,8.0,7,8.5,9.5,4.0,5.0,8.0,4.0,4.0,4.0,9.5,9.0,7.0,6.0,6.0,11.0,8.0,1.0,2.0,11.5,8.0,13.0,9.0,16.0,3.0,6
Memphis Grizzlies,16.0,2.0,15.0,4.5,12.5,4.0,14.0,5.0,5.0,13.0,4.5,2.0,11.0,15.0,15.0,14.0,14.0,1.0,14.0,10.0,4.0,9.0,8.5,11.0,14.0,14.0,6,8.5,6.5,2.0,1.0,12.5,13.5,11.0,12.5,2.0,1.0,15.0,10.5,4.5,16.0,1.0,6.0,1.0,4.0,1.0,1.0,10.0,7.0,2.0,7
Philadelphia 76ers,8.0,7.0,10.0,9.5,7.5,10.0,7.0,9.0,11.0,8.0,9.0,13.0,1.0,10.0,9.5,13.0,12.5,16.0,1.0,8.5,10.0,13.0,10.0,1.0,2.0,2.0,6,8.5,4.5,15.0,16.0,10.5,11.5,14.0,6.0,9.5,8.0,14.0,1.0,1.0,1.0,16.0,11.5,15.5,13.0,7.0,5.0,14.0,11.0,13.0,8
Utah Jazz,1.0,9.0,8.0,3.0,14.0,3.0,15.0,3.0,1.0,9.5,3.0,11.0,2.0,1.0,2.0,2.0,4.0,4.0,2.5,12.0,16.0,4.0,16.0,2.0,6.0,6.0,2,8.5,13.5,10.5,13.0,5.0,2.0,2.0,9.0,15.5,16.0,2.0,5.0,2.0,14.0,5.0,3.0,3.0,15.0,11.5,6.0,7.0,12.0,6.0,9
Minnesota Timberwolves,15.0,12.5,4.5,9.5,7.5,9.0,8.0,10.0,8.0,7.0,10.0,1.0,5.0,3.0,12.0,11.0,7.5,5.0,8.5,6.5,2.0,16.0,1.0,4.0,13.0,13.0,2,8.5,6.5,7.0,3.0,14.5,1.0,1.0,10.0,12.0,12.0,8.0,4.0,4.5,10.0,4.0,15.0,10.0,5.0,3.5,3.0,4.0,1.0,1.0,10
Toronto Raptors,14.0,10.5,6.5,11.5,5.5,12.0,2.0,11.0,13.0,9.5,11.5,14.0,15.0,11.0,16.0,16.0,15.0,2.0,15.0,6.5,1.0,14.0,5.5,8.0,16.0,16.0,2,8.5,2.5,10.5,2.0,16.0,10.0,10.0,15.0,7.0,4.0,16.0,14.0,11.0,15.0,2.0,16.0,6.5,16.0,2.0,7.0,14.0,10.0,14.0,11
New Orleans Pelicans,13.0,16.0,1.0,16.0,1.0,16.0,1.0,16.0,16.0,3.0,16.0,10.0,3.0,12.0,14.0,15.0,5.5,3.0,2.5,1.0,6.0,6.0,7.0,7.0,15.0,15.0,2,8.5,9.5,13.0,8.0,14.5,15.5,12.0,16.0,5.0,6.0,13.0,2.0,3.0,9.0,3.0,14.0,8.0,8.0,6.0,13.0,5.5,8.5,15.0,12
Denver Nuggets,5.0,10.5,6.5,11.5,5.5,11.0,10.0,12.0,6.0,5.0,11.5,8.0,12.0,8.0,1.0,1.0,3.0,13.0,11.0,4.0,12.5,4.0,11.0,15.0,10.0,10.0,1,8.5,4.5,5.5,12.0,2.0,9.0,7.0,12.5,6.0,10.0,1.0,12.0,13.0,8.0,14.0,7.0,11.0,1.0,11.5,15.0,3.0,5.0,8.0,13
Atlanta Hawks,11.5,15.0,2.0,13.0,4.0,13.0,5.0,13.0,2.0,1.0,13.0,9.0,6.0,9.0,5.5,7.0,16.0,9.5,4.0,2.0,15.0,12.0,14.0,6.0,11.0,11.0,1,8.5,16.0,8.0,7.0,6.0,8.0,9.0,2.0,8.0,7.0,11.5,3.0,7.0,4.0,9.0,9.5,12.0,10.0,11.5,10.0,16.0,14.0,5.0,14
Chicago Bulls,10.0,12.5,4.5,15.0,2.0,15.0,4.0,15.0,12.0,2.0,15.0,7.0,9.0,16.0,8.0,9.0,10.0,15.0,6.0,3.0,11.0,4.0,5.5,3.0,1.0,1.0,1,8.5,13.5,5.5,10.0,3.0,15.5,16.0,3.0,3.0,3.0,10.0,7.5,9.0,3.0,15.0,13.0,15.5,11.5,14.5,11.0,12.0,13.0,10.0,15
Brooklyn Nets,2.0,14.0,3.0,14.0,3.0,14.0,3.0,14.0,10.0,4.0,14.0,5.0,10.0,13.0,11.0,10.0,5.5,7.0,8.5,12.0,12.5,15.0,3.5,14.0,9.0,9.0,0,8.5,9.5,3.0,6.0,4.0,13.5,15.0,8.0,4.0,5.0,9.0,7.5,8.0,6.0,7.0,8.0,9.0,7.0,14.5,4.0,5.5,4.0,7.0,16
